model,policy,strict_agreement_rate,pairwise_agreement_rate
anthropic__claude-opus-4-6,amazon,0.9143,0.9543
anthropic__claude-opus-4-6,apple_health_app,0.9143,0.9486
anthropic__claude-opus-4-6,huawei,0.9714,0.9886
anthropic__claude-opus-4-6,myfitnesspal,1.0,1.0
anthropic__claude-opus-4-6,snapchat,1.0,1.0
anthropic__claude-opus-4-6,tiktok,0.9429,0.9714
anthropic__claude-sonnet-4-6,amazon,0.8286,0.9143
anthropic__claude-sonnet-4-6,apple_health_app,0.9714,0.9886
anthropic__claude-sonnet-4-6,huawei,0.9143,0.9657
anthropic__claude-sonnet-4-6,myfitnesspal,0.9714,0.9886
anthropic__claude-sonnet-4-6,snapchat,0.9143,0.9657
anthropic__claude-sonnet-4-6,tiktok,0.9714,0.9886
deepseek__deepseek-r1,amazon,0.7714,0.88
deepseek__deepseek-r1,apple_health_app,0.8857,0.9314
deepseek__deepseek-r1,huawei,0.7714,0.8771
deepseek__deepseek-r1,myfitnesspal,0.8,0.8914
deepseek__deepseek-r1,snapchat,0.8286,0.9257
deepseek__deepseek-r1,tiktok,0.9143,0.9514
deepseek__deepseek-v3-2,amazon,0.7714,0.88
deepseek__deepseek-v3-2,apple_health_app,0.7143,0.8286
deepseek__deepseek-v3-2,huawei,0.7714,0.8743
deepseek__deepseek-v3-2,myfitnesspal,0.7714,0.8971
deepseek__deepseek-v3-2,snapchat,0.8286,0.9114
deepseek__deepseek-v3-2,tiktok,0.9714,0.9829
google__gemini-3-1-flash-lite-preview,amazon,1.0,1.0
google__gemini-3-1-flash-lite-preview,apple_health_app,1.0,1.0
google__gemini-3-1-flash-lite-preview,huawei,1.0,1.0
google__gemini-3-1-flash-lite-preview,myfitnesspal,1.0,1.0
google__gemini-3-1-flash-lite-preview,snapchat,1.0,1.0
google__gemini-3-1-flash-lite-preview,tiktok,1.0,1.0
google__gemini-3-1-pro-preview,amazon,0.8857,0.9314
google__gemini-3-1-pro-preview,apple_health_app,0.9143,0.9543
google__gemini-3-1-pro-preview,huawei,1.0,1.0
google__gemini-3-1-pro-preview,myfitnesspal,0.9429,0.9714
google__gemini-3-1-pro-preview,snapchat,0.9714,0.9886
google__gemini-3-1-pro-preview,tiktok,1.0,1.0
openai__gpt-5-4,amazon,0.9143,0.9657
openai__gpt-5-4,apple_health_app,0.8,0.9086
openai__gpt-5-4,huawei,0.8571,0.9257
openai__gpt-5-4,myfitnesspal,0.8857,0.9486
openai__gpt-5-4,snapchat,0.8571,0.9229
openai__gpt-5-4,tiktok,0.8286,0.9
openai__gpt-5-4-mini,amazon,0.7143,0.8457
openai__gpt-5-4-mini,apple_health_app,0.7143,0.8638
openai__gpt-5-4-mini,huawei,0.7429,0.8743
openai__gpt-5-4-mini,myfitnesspal,0.6286,0.8105
openai__gpt-5-4-mini,snapchat,0.7714,0.8971
openai__gpt-5-4-mini,tiktok,0.8,0.88
qwen__qwen3-5-397b-a17b,amazon,0.7143,0.84
qwen__qwen3-5-397b-a17b,apple_health_app,0.6857,0.84
qwen__qwen3-5-397b-a17b,myfitnesspal,0.6286,0.8086
qwen__qwen3-5-397b-a17b,snapchat,0.8571,0.9257
qwen__qwen3-8b,amazon,0.6571,0.8114
qwen__qwen3-8b,apple_health_app,0.7714,0.8714
qwen__qwen3-8b,huawei,0.6571,0.82
qwen__qwen3-8b,myfitnesspal,0.5714,0.7629
qwen__qwen3-8b,snapchat,0.6857,0.8514
qwen__qwen3-8b,tiktok,0.6857,0.84
