model,policy,n_pairs,agreement_rate,macro_f1,f1_true,f1_not_true
anthropic__claude-opus-4-6,amazon,35,0.7429,0.6749,0.5263,0.8235
anthropic__claude-opus-4-6,apple_health_app,35,0.5714,0.5143,0.3478,0.6809
anthropic__claude-opus-4-6,snapchat,35,0.8571,0.8058,0.7059,0.9057
anthropic__claude-opus-4-6,tiktok,35,0.6857,0.6578,0.56,0.7556
anthropic__claude-sonnet-4-6,amazon,35,0.6857,0.6259,0.4762,0.7755
anthropic__claude-sonnet-4-6,apple_health_app,35,0.4571,0.3137,0.0,0.6275
anthropic__claude-sonnet-4-6,snapchat,35,0.8857,0.838,0.75,0.9259
anthropic__claude-sonnet-4-6,tiktok,35,0.6857,0.6438,0.5217,0.766
deepseek__deepseek-r1,amazon,35,0.7714,0.7464,0.6667,0.8261
deepseek__deepseek-r1,apple_health_app,35,0.4571,0.3137,0.0,0.6275
deepseek__deepseek-r1,snapchat,35,0.8857,0.838,0.75,0.9259
deepseek__deepseek-r1,tiktok,35,0.7143,0.6686,0.5455,0.7917
deepseek__deepseek-v3-2,amazon,35,0.6857,0.5333,0.2667,0.8
deepseek__deepseek-v3-2,apple_health_app,35,0.4857,0.37,0.1,0.64
deepseek__deepseek-v3-2,snapchat,35,0.8286,0.6983,0.5,0.8966
deepseek__deepseek-v3-2,tiktok,35,0.7143,0.683,0.5833,0.7826
google__gemini-3-1-flash-lite-preview,amazon,35,0.8,0.7619,0.6667,0.8571
google__gemini-3-1-flash-lite-preview,apple_health_app,35,0.6857,0.6684,0.5926,0.7442
google__gemini-3-1-flash-lite-preview,snapchat,35,0.8286,0.79,0.7,0.88
google__gemini-3-1-flash-lite-preview,tiktok,35,0.6571,0.6429,0.5714,0.7143
google__gemini-3-1-pro-preview,amazon,35,0.7143,0.683,0.5833,0.7826
google__gemini-3-1-pro-preview,apple_health_app,35,0.5714,0.5143,0.3478,0.6809
google__gemini-3-1-pro-preview,snapchat,35,0.8857,0.838,0.75,0.9259
google__gemini-3-1-pro-preview,tiktok,35,0.6857,0.6684,0.5926,0.7442
openai__gpt-5-4,amazon,34,0.7353,0.6471,0.4706,0.8235
openai__gpt-5-4,apple_health_app,35,0.4571,0.3137,0.0,0.6275
openai__gpt-5-4,snapchat,35,0.9429,0.9107,0.8571,0.9643
openai__gpt-5-4,tiktok,35,0.6857,0.6578,0.56,0.7556
openai__gpt-5-4-mini,amazon,35,0.7429,0.6182,0.4,0.8364
openai__gpt-5-4-mini,apple_health_app,35,0.5429,0.4928,0.3333,0.6522
openai__gpt-5-4-mini,snapchat,35,0.8286,0.7756,0.6667,0.8846
openai__gpt-5-4-mini,tiktok,35,0.7714,0.7552,0.6923,0.8182
qwen__qwen3-5-397b-a17b,amazon,35,0.7143,0.683,0.5833,0.7826
qwen__qwen3-5-397b-a17b,apple_health_app,35,0.4857,0.37,0.1,0.64
qwen__qwen3-5-397b-a17b,snapchat,35,0.9143,0.8727,0.8,0.9455
qwen__qwen3-5-397b-a17b,tiktok,35,0.6857,0.6684,0.5926,0.7442
qwen__qwen3-8b,amazon,35,0.7143,0.6261,0.4444,0.8077
qwen__qwen3-8b,apple_health_app,35,0.5714,0.5143,0.3478,0.6809
qwen__qwen3-8b,snapchat,35,0.7714,0.5977,0.3333,0.8621
qwen__qwen3-8b,tiktok,35,0.6571,0.5513,0.3333,0.7692
