model,n_policies,n_pairs,agreement_rate,macro_f1,f1_true,f1_false,f1_ambiguous
anthropic__claude-opus-4-6,4,140,0.5214,0.497,0.5238,0.6555,0.3117
anthropic__claude-sonnet-4-6,4,140,0.5643,0.4943,0.4304,0.731,0.3214
deepseek__deepseek-r1,4,140,0.5429,0.425,0.4938,0.6835,0.0976
deepseek__deepseek-v3-2,4,140,0.4429,0.3213,0.3662,0.5976,0.0
google__gemini-3-1-flash-lite-preview,4,140,0.5143,0.4716,0.625,0.605,0.1846
google__gemini-3-1-pro-preview,4,140,0.5857,0.4991,0.5556,0.7376,0.2041
openai__gpt-5-4,4,139,0.5612,0.4871,0.4533,0.7413,0.2667
openai__gpt-5-4-mini,4,140,0.5571,0.4016,0.5301,0.6747,0.0
qwen__qwen3-5-397b-a17b,4,140,0.55,0.4855,0.5116,0.6809,0.2642
qwen__qwen3-8b,4,140,0.4857,0.3776,0.3662,0.6303,0.1364
