model,category,n_pairs,agreement_rate,macro_f1,f1_true,f1_false,f1_ambiguous
anthropic__claude-opus-4-6,biometric_data,28,0.6071,0.5207,0.25,0.7407,0.5714
anthropic__claude-opus-4-6,health_data,28,0.5357,0.4286,0.6,0.6857,0.0
anthropic__claude-opus-4-6,physiological_data,28,0.3214,0.2791,0.1429,0.5833,0.1111
anthropic__claude-opus-4-6,physical_data,28,0.6071,0.5632,0.6897,0.6667,0.3333
anthropic__claude-opus-4-6,behavioral_data,28,0.5357,0.5214,0.6087,0.5556,0.4
anthropic__claude-sonnet-4-6,biometric_data,28,0.6786,0.6053,0.4,0.8276,0.5882
anthropic__claude-sonnet-4-6,health_data,28,0.5714,0.2667,0.0,0.8,0.0
anthropic__claude-sonnet-4-6,physiological_data,28,0.4643,0.2342,0.0,0.7027,0.0
anthropic__claude-sonnet-4-6,physical_data,28,0.5357,0.4804,0.5926,0.6667,0.1818
anthropic__claude-sonnet-4-6,behavioral_data,28,0.5714,0.5667,0.5833,0.5714,0.5455
deepseek__deepseek-r1,biometric_data,28,0.5357,0.4222,0.6,0.6667,0.0
deepseek__deepseek-r1,health_data,28,0.5714,0.2667,0.0,0.8,0.0
deepseek__deepseek-r1,physiological_data,28,0.4643,0.2281,0.0,0.6842,0.0
deepseek__deepseek-r1,physical_data,28,0.5357,0.3889,0.6667,0.5,0.0
deepseek__deepseek-r1,behavioral_data,28,0.6071,0.5733,0.6087,0.6667,0.4444
deepseek__deepseek-v3-2,biometric_data,28,0.4286,0.2,0.0,0.6,0.0
deepseek__deepseek-v3-2,health_data,28,0.5714,0.2667,0.0,0.8,0.0
deepseek__deepseek-v3-2,physiological_data,28,0.5,0.2898,0.1667,0.7027,0.0
deepseek__deepseek-v3-2,physical_data,28,0.3214,0.2582,0.4545,0.32,0.0
deepseek__deepseek-v3-2,behavioral_data,28,0.3929,0.3157,0.5833,0.3636,0.0
google__gemini-3-1-flash-lite-preview,biometric_data,28,0.5357,0.4672,0.5333,0.7143,0.1538
google__gemini-3-1-flash-lite-preview,health_data,28,0.5714,0.4407,0.6,0.7222,0.0
google__gemini-3-1-flash-lite-preview,physiological_data,28,0.3929,0.3889,0.5,0.4167,0.25
google__gemini-3-1-flash-lite-preview,physical_data,28,0.5714,0.5009,0.7333,0.4615,0.3077
google__gemini-3-1-flash-lite-preview,behavioral_data,28,0.5,0.4498,0.64,0.5556,0.1538
google__gemini-3-1-pro-preview,biometric_data,28,0.5714,0.4645,0.4615,0.75,0.1818
google__gemini-3-1-pro-preview,health_data,28,0.6071,0.3568,0.25,0.8205,0.0
google__gemini-3-1-pro-preview,physiological_data,28,0.5,0.2963,0.1667,0.7222,0.0
google__gemini-3-1-pro-preview,physical_data,28,0.6429,0.547,0.7742,0.6667,0.2
google__gemini-3-1-pro-preview,behavioral_data,28,0.6071,0.5975,0.6154,0.6316,0.5455
openai__gpt-5-4,biometric_data,27,0.5926,0.4167,0.0,0.75,0.5
openai__gpt-5-4,health_data,28,0.5714,0.2735,0.0,0.8205,0.0
openai__gpt-5-4,physiological_data,28,0.4643,0.2407,0.0,0.7222,0.0
openai__gpt-5-4,physical_data,28,0.6429,0.5995,0.7407,0.75,0.3077
openai__gpt-5-4,behavioral_data,28,0.5357,0.5056,0.5833,0.6,0.3333
openai__gpt-5-4-mini,biometric_data,28,0.4643,0.3004,0.2857,0.6154,0.0
openai__gpt-5-4-mini,health_data,28,0.7143,0.5159,0.7273,0.8205,0.0
openai__gpt-5-4-mini,physiological_data,28,0.4643,0.2618,0.1538,0.6316,0.0
openai__gpt-5-4-mini,physical_data,28,0.5714,0.4167,0.6667,0.5833,0.0
openai__gpt-5-4-mini,behavioral_data,28,0.5714,0.4174,0.56,0.6923,0.0
qwen__qwen3-5-397b-a17b,biometric_data,28,0.5,0.4274,0.4615,0.6667,0.1538
qwen__qwen3-5-397b-a17b,health_data,28,0.6071,0.3402,0.0,0.8205,0.2
qwen__qwen3-5-397b-a17b,physiological_data,28,0.5357,0.3772,0.1667,0.7429,0.2222
qwen__qwen3-5-397b-a17b,physical_data,28,0.5714,0.4768,0.7097,0.4706,0.25
qwen__qwen3-5-397b-a17b,behavioral_data,28,0.5357,0.5234,0.6087,0.5,0.4615
qwen__qwen3-8b,biometric_data,28,0.4286,0.2836,0.2222,0.6286,0.0
qwen__qwen3-8b,health_data,28,0.6071,0.3435,0.25,0.7805,0.0
qwen__qwen3-8b,physiological_data,28,0.6071,0.4947,0.4286,0.7222,0.3333
qwen__qwen3-8b,physical_data,28,0.3929,0.35,0.3333,0.4667,0.25
qwen__qwen3-8b,behavioral_data,28,0.3929,0.357,0.4545,0.4348,0.1818
