model,policy,n_pairs,agreement_rate,macro_f1,f1_true,f1_false,f1_ambiguous
anthropic__claude-opus-4-6,amazon,35,0.4571,0.431,0.5263,0.5,0.2667
anthropic__claude-opus-4-6,apple_health_app,35,0.4286,0.4239,0.3478,0.75,0.1739
anthropic__claude-opus-4-6,snapchat,35,0.6286,0.612,0.7059,0.6857,0.4444
anthropic__claude-opus-4-6,tiktok,35,0.5714,0.5637,0.56,0.75,0.381
anthropic__claude-sonnet-4-6,amazon,35,0.6286,0.5179,0.4762,0.7442,0.3333
anthropic__claude-sonnet-4-6,apple_health_app,35,0.3143,0.2675,0.0,0.6207,0.1818
anthropic__claude-sonnet-4-6,snapchat,35,0.7429,0.6503,0.75,0.8372,0.3636
anthropic__claude-sonnet-4-6,tiktok,35,0.5714,0.553,0.5217,0.6667,0.4706
deepseek__deepseek-r1,amazon,35,0.7143,0.4858,0.6667,0.7907,0.0
deepseek__deepseek-r1,apple_health_app,35,0.2857,0.2157,0.0,0.5294,0.1176
deepseek__deepseek-r1,snapchat,35,0.6857,0.5109,0.75,0.7826,0.0
deepseek__deepseek-r1,tiktok,35,0.4857,0.4236,0.5455,0.5714,0.1538
deepseek__deepseek-v3-2,amazon,35,0.4571,0.2918,0.2667,0.6087,0.0
deepseek__deepseek-v3-2,apple_health_app,35,0.2857,0.2,0.1,0.5,0.0
deepseek__deepseek-v3-2,snapchat,35,0.6,0.4116,0.5,0.7347,0.0
deepseek__deepseek-v3-2,tiktok,35,0.4286,0.3561,0.5833,0.4848,0.0
google__gemini-3-1-flash-lite-preview,amazon,35,0.4571,0.4255,0.6667,0.4848,0.125
google__gemini-3-1-flash-lite-preview,apple_health_app,35,0.5429,0.5177,0.5926,0.75,0.2105
google__gemini-3-1-flash-lite-preview,snapchat,35,0.6,0.5508,0.7,0.6857,0.2667
google__gemini-3-1-flash-lite-preview,tiktok,35,0.4571,0.4078,0.5714,0.5185,0.1333
google__gemini-3-1-pro-preview,amazon,35,0.6286,0.4325,0.5833,0.7143,0.0
google__gemini-3-1-pro-preview,apple_health_app,35,0.4286,0.4239,0.3478,0.75,0.1739
google__gemini-3-1-pro-preview,snapchat,35,0.7143,0.5907,0.75,0.8,0.2222
google__gemini-3-1-pro-preview,tiktok,35,0.5714,0.5223,0.5926,0.6667,0.3077
openai__gpt-5-4,amazon,34,0.6471,0.5198,0.4706,0.7556,0.3333
openai__gpt-5-4,apple_health_app,35,0.3143,0.2913,0.0,0.72,0.1538
openai__gpt-5-4,snapchat,35,0.7143,0.6518,0.8571,0.7907,0.3077
openai__gpt-5-4,tiktok,35,0.5714,0.5422,0.56,0.6667,0.4
openai__gpt-5-4-mini,amazon,35,0.6571,0.3897,0.4,0.7692,0.0
openai__gpt-5-4-mini,apple_health_app,35,0.3714,0.2733,0.3333,0.4865,0.0
openai__gpt-5-4-mini,snapchat,35,0.6571,0.4798,0.6667,0.7727,0.0
openai__gpt-5-4-mini,tiktok,35,0.5429,0.4328,0.6923,0.6061,0.0
qwen__qwen3-5-397b-a17b,amazon,35,0.6286,0.4325,0.5833,0.7143,0.0
qwen__qwen3-5-397b-a17b,apple_health_app,35,0.2857,0.2444,0.1,0.5333,0.1
qwen__qwen3-5-397b-a17b,snapchat,35,0.7714,0.7336,0.8,0.8293,0.5714
qwen__qwen3-5-397b-a17b,tiktok,35,0.5143,0.4769,0.5926,0.5714,0.2667
qwen__qwen3-8b,amazon,35,0.5714,0.3906,0.4444,0.7273,0.0
qwen__qwen3-8b,apple_health_app,35,0.4,0.3432,0.3478,0.5,0.1818
qwen__qwen3-8b,snapchat,35,0.5429,0.3472,0.3333,0.7083,0.0
qwen__qwen3-8b,tiktok,35,0.4286,0.3802,0.3333,0.5405,0.2667
